,index,Tokens_originals,Originals,Sources,Originals_count,Sources_count,Sources_density,Originals_density,Sources_use_density
21,easi,{'easy': 10},"['Six audience participants chose PowerPoint as a preferred system mainly because of the readability. They mentioned that PowerPoint was “easier to read,” “legible,” and “easier to see and read.” Another reason by two audience participants was familiarity. For example, P14 stated that “The ease of visibility understanding the flow, the cleanness of the graphics in each slide the boldness of the fonts much easier to follow along with it as I was more familiar with it.”\n(...)\nSome audience participants preferred PowerPoint because SketchStory looked untidy and cluttered for them. Furthermore, one major issue with SketchStory for the audience was readability; each chart did not have a title like a PowerPoint slide and the fonts for the numbers and labels were too small. An audience participant mentioned that it would be nice to have the capability of maximizing one chart since it would alleviate the readability problem. It could be helpful to incorporate existing sketch beautification algorithms and to support adaptive font size.', 'Six audience participants chose PowerPoint as a preferred system mainly because of the readability. They mentioned that PowerPoint was “easier to read,” “legible,” and “easier to see and read.” Another reason by two audience participants was familiarity. For example, P14 stated that “The ease of visibility understanding the flow, the cleanness of the graphics in each slide the boldness of the fonts much easier to follow along with it as I was more familiar with it.”\n(...)\nSome audience participants preferred PowerPoint because SketchStory looked untidy and cluttered for them. Furthermore, one major issue with SketchStory for the audience was readability; each chart did not have a title like a PowerPoint slide and the fonts for the numbers and labels were too small. An audience participant mentioned that it would be nice to have the capability of maximizing one chart since it would alleviate the readability problem. It could be helpful to incorporate existing sketch beautification algorithms and to support adaptive font size.', 'Comparing diff to side-by-side, PD08 said “it’s [side-by-side] a lot easier to tell what the overall latency is for each operation. . . . [the nodes are] all put together without any gaps in the middle.” SD09 said, “With [side-by-side], I can more easily see this is happening here before and after. Without the dashed lines, you can’t see which event in the previous trace corresponds to the after trace.”\n(...)\nPD06 complained that it was more difficult to match up large changes since the matching counterpart could be off the screen.\n(...)\nin each request, would remain. Second, when nodes are very close to another, correspondence lines became too cluttered and difficult to use. This led to complaints from several participants', 'The evaluation participants replied that the OPCPs ”can be very strong in structure detection in the data”, especially ”when there is a lot of overlap in the data”. However, ”the OPCPs take more time to get used to” and ”might require some training for na¨ıve users”. Also, finding ”simple correlations across dimensions can be easier sometimes with PCPs only”. O-Brushing makes it ”easier to select patterns locally”, but ”O-Prober could be improved by using also different shapes, other than the rectangle”. Most users commented that our approach supported them more in the identification and selection of patterns and outliers, in particular. For simple cases, due to the fact that OPCPs require prior familiarization and training, they might be less suitable. However, for cluttered data, the advantages are straightforward.', '2D straight was found to be easy for small data sets, however, lines were found to be hard to distinguish due to increasing overlaps in large data sets. Several participants reported: “I answered sometimes with a very low confidence, close to luck.”\n2D curve was found to have fewer overlaps than 2D straight. However, many participants reported the curvature made it difficult to follow lines, and sometimes, the curvature was found to be unexpected, which apparently increased difficulty.\n(...)\n3D distance was easy to distinguish flows. “This one left enough gaps between the curves to clearly distinguish the curves” and “it was visually appealing.” However, a few participants commented they felt more confident with 3D quantity, and a few commented that this might be due to the double encoding used by 3D quantity (3D quantity encodes quantity with height and width).\n(...)\nGlobe was found to be the most intuitive. Many participants also commented that the visualisation “felt very sparse so it was easy to tell which lines were connected to the points”.', 'Expressive Visual Design Improve Data Comprehension\nParticipants also provided other positive comments on DataShot’s visual design. They all agreed the visualization presented in DataShot is easy to understand. Participants commented regarding the visual design that “...(DataShot) provides meaningful annotations for me to understand the data better” (P1, male, 22), and “the short description (of each fact sheet elements) helps me dive into the content of the data” (P3, male, 22). At the same time, participants commented on the expressiveness of DataShot, “The visual design is quite rich...I have plenty of choices to show the data from different aspects” (P9, female, 29). Moreover, participants also commented on the attractiveness of the fact sheet design. “I got a rough idea after I read the data, but DataShot presents the data in a more thought-provoking and eye-catching way” (P9, female, 29). One participant (P7, male, 22) noted, “I want to copy the charts into my presentation slides”. However, participants also pointed out that such an auto-generated process could diminish the diversity and decrease the creativity of the final output, which could hamper the expressiveness.', 'Participant Feedback.\nAt the end of the experiment each participant was given the chance to provide feedback and give comments. Some participants felt Prot´eg´e was more familiar and acceptable, e.g., commenting “The vertical aligned indented list is easier to perceive hierarchy structures”. Most of the participants gave positive feedback for OntoPlot, e.g., commenting “OntoPlot interface is more friendly”, “OntoPlot needs effort to learn, but makes tasks easier”, or “OntoPlot has more compact view of the ontology”. Some participants also provided more specific feedback such as “Lighter lines and darker lines are helpful for distinguishing siblings and non-siblings”, “The labels make finding associations much easier”, “Association labels are easy to read”, or “Tagging feature is nice”. One participant also commented on Prot´eg´e: “That is very difficult to find common ancestors with Prot´eg´e”.  A few participants also provided helpful feedback for further improvements  of OntoPlot, e.g., “Probably can use colour coding for the sibling lines to make them more obvious”, “The subtle arrows could be more effective if can indicate the number of pointing in and pointing out associations”, or “Probably can filter association classes further when there are many associations”.', 'Reviewing open-ended feedback showed us that difficulty under standing was attributed to unfamiliarity with a visualization: “It was somewhat challenging because I’m not familiar with this type of graph. Additionally, the abstract nature of our graph systems, and also novelty effects influenced difficulty. P111 says, “Their abstract nature was the most difficult to understand. Observing this with a real life example would make it easier to visualize and conceptualize.” Finally, our participants indicated that they used both visualization and narratives for causal inference: “I think having both the summary and the color coded chart makes it much easier to understand [...].”', 'Visual Design.\n\nMost of the users agreed that our visual design could intuitively convey the semantic information. Given that we use the scatterplot as our visualization, they found it easy for them to recognize the images and their similarities. However, one user indicated that the estimation of image similarities was not so easy, as the visualization can be explored in different scales, which sometimes hampered his estimation of the distances. Another user mentioned that it would be more useful if the images can be visualized temporally for the task of image management. In addition, three users made comments about the color. One of them thought the color is appropriate, which provided her an impression of the starry sky. Two of them thought the color is a little confusing as it did not well distinguish between different semantic clusters. Due to the limitation of our clustering method, however, some semantically similar images may be assigned to different groups. Moreover, one user thought that it was not efficient to show all the text in the same size. He hoped that important words could be highlighted by a larger text to attract his attention.', 'We got comments like “Interface is user friendly”, “Causal network gives control and flexibility”, “Causal network is very intuitive and easy to understand”, “Causal network is a great way to understand relationships between features”', 'comments sorted under ""Visibility"" (from additional content of the paper):\n\nEasy to find the names\nHard/confusing to find people\nEverything is visible\nI cannot see everything at once/I want to zoom out or summarization view\nSummary of selections needed\nTook too much space\nCrowded view\nHaving a big map is convenient\nConfusing to have several maps\nIt shows things better']","['https://dx.doi.org/10.1109/TVCG.2013.191', 'https://dx.doi.org/10.1109/TVCG.2013.191', 'https://dx.doi.org/10.1109/TVCG.2013.233', 'https://dx.doi.org/10.1109/TVCG.2015.2467872', 'https://dx.doi.org/10.1109/TVCG.2018.2865192', 'https://dx.doi.org/10.1109/TVCG.2019.2934784', 'https://dx.doi.org/10.1109/TVCG.2019.2934557', 'https://dx.doi.org/10.1109/TVCG.2020.3030358', 'https://dx.doi.org/10.1109/TVCG.2018.2835485', 'https://dx.doi.org/10.1109/TVCG.2022.3209484', 'https://dx.doi.org/10.1109/TVCG.2022.3209480']",11,11,0.3142857142857143,0.3142857142857143,1.0
22,see,{'see': 4},"['Six audience participants chose PowerPoint as a preferred system mainly because of the readability. They mentioned that PowerPoint was “easier to read,” “legible,” and “easier to see and read.” Another reason by two audience participants was familiarity. For example, P14 stated that “The ease of visibility understanding the flow, the cleanness of the graphics in each slide the boldness of the fonts much easier to follow along with it as I was more familiar with it.”\n(...)\nSome audience participants preferred PowerPoint because SketchStory looked untidy and cluttered for them. Furthermore, one major issue with SketchStory for the audience was readability; each chart did not have a title like a PowerPoint slide and the fonts for the numbers and labels were too small. An audience participant mentioned that it would be nice to have the capability of maximizing one chart since it would alleviate the readability problem. It could be helpful to incorporate existing sketch beautification algorithms and to support adaptive font size.', 'Comparing diff to side-by-side, PD08 said “it’s [side-by-side] a lot easier to tell what the overall latency is for each operation. . . . [the nodes are] all put together without any gaps in the middle.” SD09 said, “With [side-by-side], I can more easily see this is happening here before and after. Without the dashed lines, you can’t see which event in the previous trace corresponds to the after trace.”\n(...)\nPD06 complained that it was more difficult to match up large changes since the matching counterpart could be off the screen.\n(...)\nin each request, would remain. Second, when nodes are very close to another, correspondence lines became too cluttered and difficult to use. This led to complaints from several participants', '“I feel like this is providing useful insight and... the sentiment easily got me to the areas in the video where the user was confused.”-P5-1 Another reason was that “the icons and sentiments are very easy to understand.”-P4-1\n\n“I actually almost paid all of my attention on the scrolling speed. Compared to the icons, I definitely prefer to look at the visualizations.”-P1-2 “I looked at the peak of the waves of the scrolling speed just to double-check what was happening.”-P6-1 Also, P3-1 thought the scrolling speed was useful, but would like to see numbers instead of a relative scale from “slow” to “fast.” \n\nHowever, these two features were relatively less used. One reason was that “they are too far away from the video so while I’m watching the video I couldn’t see that information.”-P2-2 In addition, P4-2 mentioned “I didn’t really look at the scrolling speed, because I think this is not super relevant to this task.”\n\nInterestingly, participants also used a combination of different features to better locate segments that contained usability problems. “In the same column, if there were two or more icons that show abnormalities,\r I paid more attention to it because it’s more obvious.”-P1-2', 'comments sorted under ""Visibility"" (from additional content of the paper):\n\nEasy to find the names\nHard/confusing to find people\nEverything is visible\nI cannot see everything at once/I want to zoom out or summarization view\nSummary of selections needed\nTook too much space\nCrowded view\nHaving a big map is convenient\nConfusing to have several maps\nIt shows things better']","['https://dx.doi.org/10.1109/TVCG.2013.191', 'https://dx.doi.org/10.1109/TVCG.2013.233', 'https://dx.doi.org/10.1109/TVCG.2021.3114822', 'https://dx.doi.org/10.1109/TVCG.2022.3209480']",4,4,0.11428571428571428,0.11428571428571428,1.0
23,read,{'read': 1},"['Six audience participants chose PowerPoint as a preferred system mainly because of the readability. They mentioned that PowerPoint was “easier to read,” “legible,” and “easier to see and read.” Another reason by two audience participants was familiarity. For example, P14 stated that “The ease of visibility understanding the flow, the cleanness of the graphics in each slide the boldness of the fonts much easier to follow along with it as I was more familiar with it.”\n(...)\nSome audience participants preferred PowerPoint because SketchStory looked untidy and cluttered for them. Furthermore, one major issue with SketchStory for the audience was readability; each chart did not have a title like a PowerPoint slide and the fonts for the numbers and labels were too small. An audience participant mentioned that it would be nice to have the capability of maximizing one chart since it would alleviate the readability problem. It could be helpful to incorporate existing sketch beautification algorithms and to support adaptive font size.']",['https://dx.doi.org/10.1109/TVCG.2013.191'],1,1,0.02857142857142857,0.02857142857142857,1.0
24,eas,{'ease': 2},"['Six audience participants chose PowerPoint as a preferred system mainly because of the readability. They mentioned that PowerPoint was “easier to read,” “legible,” and “easier to see and read.” Another reason by two audience participants was familiarity. For example, P14 stated that “The ease of visibility understanding the flow, the cleanness of the graphics in each slide the boldness of the fonts much easier to follow along with it as I was more familiar with it.”\n(...)\nSome audience participants preferred PowerPoint because SketchStory looked untidy and cluttered for them. Furthermore, one major issue with SketchStory for the audience was readability; each chart did not have a title like a PowerPoint slide and the fonts for the numbers and labels were too small. An audience participant mentioned that it would be nice to have the capability of maximizing one chart since it would alleviate the readability problem. It could be helpful to incorporate existing sketch beautification algorithms and to support adaptive font size.', 'They also positively reported on the stereovision (“The hololens gives an instant understanding of depth [...]”,“ease with which I could judge distances/location”, “could see the space clearer”), and spatial comprehension (“comprehension was the highest with HoloLense (SIC)”).']","['https://dx.doi.org/10.1109/TVCG.2013.191', 'https://dx.doi.org/10.1109/TVCG.2017.2745941']",2,2,0.05714285714285714,0.05714285714285714,1.0
25,clean,{'clean': 1},"['Six audience participants chose PowerPoint as a preferred system mainly because of the readability. They mentioned that PowerPoint was “easier to read,” “legible,” and “easier to see and read.” Another reason by two audience participants was familiarity. For example, P14 stated that “The ease of visibility understanding the flow, the cleanness of the graphics in each slide the boldness of the fonts much easier to follow along with it as I was more familiar with it.”\n(...)\nSome audience participants preferred PowerPoint because SketchStory looked untidy and cluttered for them. Furthermore, one major issue with SketchStory for the audience was readability; each chart did not have a title like a PowerPoint slide and the fonts for the numbers and labels were too small. An audience participant mentioned that it would be nice to have the capability of maximizing one chart since it would alleviate the readability problem. It could be helpful to incorporate existing sketch beautification algorithms and to support adaptive font size.']",['https://dx.doi.org/10.1109/TVCG.2013.191'],1,1,0.02857142857142857,0.02857142857142857,1.0
26,bold,{'bold': 1},"['Six audience participants chose PowerPoint as a preferred system mainly because of the readability. They mentioned that PowerPoint was “easier to read,” “legible,” and “easier to see and read.” Another reason by two audience participants was familiarity. For example, P14 stated that “The ease of visibility understanding the flow, the cleanness of the graphics in each slide the boldness of the fonts much easier to follow along with it as I was more familiar with it.”\n(...)\nSome audience participants preferred PowerPoint because SketchStory looked untidy and cluttered for them. Furthermore, one major issue with SketchStory for the audience was readability; each chart did not have a title like a PowerPoint slide and the fonts for the numbers and labels were too small. An audience participant mentioned that it would be nice to have the capability of maximizing one chart since it would alleviate the readability problem. It could be helpful to incorporate existing sketch beautification algorithms and to support adaptive font size.']",['https://dx.doi.org/10.1109/TVCG.2013.191'],1,1,0.02857142857142857,0.02857142857142857,1.0
27,untidi,{'untidy': 1},"['Six audience participants chose PowerPoint as a preferred system mainly because of the readability. They mentioned that PowerPoint was “easier to read,” “legible,” and “easier to see and read.” Another reason by two audience participants was familiarity. For example, P14 stated that “The ease of visibility understanding the flow, the cleanness of the graphics in each slide the boldness of the fonts much easier to follow along with it as I was more familiar with it.”\n(...)\nSome audience participants preferred PowerPoint because SketchStory looked untidy and cluttered for them. Furthermore, one major issue with SketchStory for the audience was readability; each chart did not have a title like a PowerPoint slide and the fonts for the numbers and labels were too small. An audience participant mentioned that it would be nice to have the capability of maximizing one chart since it would alleviate the readability problem. It could be helpful to incorporate existing sketch beautification algorithms and to support adaptive font size.']",['https://dx.doi.org/10.1109/TVCG.2013.191'],1,1,0.02857142857142857,0.02857142857142857,1.0
28,clutter,"{'cluttered': 3, 'clutter': 1}","['Six audience participants chose PowerPoint as a preferred system mainly because of the readability. They mentioned that PowerPoint was “easier to read,” “legible,” and “easier to see and read.” Another reason by two audience participants was familiarity. For example, P14 stated that “The ease of visibility understanding the flow, the cleanness of the graphics in each slide the boldness of the fonts much easier to follow along with it as I was more familiar with it.”\n(...)\nSome audience participants preferred PowerPoint because SketchStory looked untidy and cluttered for them. Furthermore, one major issue with SketchStory for the audience was readability; each chart did not have a title like a PowerPoint slide and the fonts for the numbers and labels were too small. An audience participant mentioned that it would be nice to have the capability of maximizing one chart since it would alleviate the readability problem. It could be helpful to incorporate existing sketch beautification algorithms and to support adaptive font size.', 'Comparing diff to side-by-side, PD08 said “it’s [side-by-side] a lot easier to tell what the overall latency is for each operation. . . . [the nodes are] all put together without any gaps in the middle.” SD09 said, “With [side-by-side], I can more easily see this is happening here before and after. Without the dashed lines, you can’t see which event in the previous trace corresponds to the after trace.”\n(...)\nPD06 complained that it was more difficult to match up large changes since the matching counterpart could be off the screen.\n(...)\nin each request, would remain. Second, when nodes are very close to another, correspondence lines became too cluttered and difficult to use. This led to complaints from several participants', '“It was much less cluttered in C3”,\n“I can feel richer depth perception with C3”,\n“C1 and C2 look flat”,\n“C3 looks like coral, C2 looks like broken egg shells”,\n“C3 looks more neat”.', 'Another participant commented, “Left graph uses too many colors which is distracting and messy,” which was coded as “disliked color, too many colors, disliked aesthetics, cluttered.”\n\nMany participants claimed that the cluttered graphs were “disorganized” and “visually unappealing.” ']","['https://dx.doi.org/10.1109/TVCG.2013.191', 'https://dx.doi.org/10.1109/TVCG.2013.233', 'https://dx.doi.org/10.1109/TVCG.2014.2337337', 'https://dx.doi.org/10.1109/TVCG.2021.3068337']",4,4,0.11428571428571428,0.11428571428571428,1.0
29,use,"{'use': 1, 'useful': 2}","['Comparing diff to side-by-side, PD08 said “it’s [side-by-side] a lot easier to tell what the overall latency is for each operation. . . . [the nodes are] all put together without any gaps in the middle.” SD09 said, “With [side-by-side], I can more easily see this is happening here before and after. Without the dashed lines, you can’t see which event in the previous trace corresponds to the after trace.”\n(...)\nPD06 complained that it was more difficult to match up large changes since the matching counterpart could be off the screen.\n(...)\nin each request, would remain. Second, when nodes are very close to another, correspondence lines became too cluttered and difficult to use. This led to complaints from several participants', 'Visual Design.\n\nMost of the users agreed that our visual design could intuitively convey the semantic information. Given that we use the scatterplot as our visualization, they found it easy for them to recognize the images and their similarities. However, one user indicated that the estimation of image similarities was not so easy, as the visualization can be explored in different scales, which sometimes hampered his estimation of the distances. Another user mentioned that it would be more useful if the images can be visualized temporally for the task of image management. In addition, three users made comments about the color. One of them thought the color is appropriate, which provided her an impression of the starry sky. Two of them thought the color is a little confusing as it did not well distinguish between different semantic clusters. Due to the limitation of our clustering method, however, some semantically similar images may be assigned to different groups. Moreover, one user thought that it was not efficient to show all the text in the same size. He hoped that important words could be highlighted by a larger text to attract his attention.', '“I feel like this is providing useful insight and... the sentiment easily got me to the areas in the video where the user was confused.”-P5-1 Another reason was that “the icons and sentiments are very easy to understand.”-P4-1\n\n“I actually almost paid all of my attention on the scrolling speed. Compared to the icons, I definitely prefer to look at the visualizations.”-P1-2 “I looked at the peak of the waves of the scrolling speed just to double-check what was happening.”-P6-1 Also, P3-1 thought the scrolling speed was useful, but would like to see numbers instead of a relative scale from “slow” to “fast.” \n\nHowever, these two features were relatively less used. One reason was that “they are too far away from the video so while I’m watching the video I couldn’t see that information.”-P2-2 In addition, P4-2 mentioned “I didn’t really look at the scrolling speed, because I think this is not super relevant to this task.”\n\nInterestingly, participants also used a combination of different features to better locate segments that contained usability problems. “In the same column, if there were two or more icons that show abnormalities,\r I paid more attention to it because it’s more obvious.”-P1-2', '“I feel like this is providing useful insight and... the sentiment easily got me to the areas in the video where the user was confused.”-P5-1 Another reason was that “the icons and sentiments are very easy to understand.”-P4-1\n\n“I actually almost paid all of my attention on the scrolling speed. Compared to the icons, I definitely prefer to look at the visualizations.”-P1-2 “I looked at the peak of the waves of the scrolling speed just to double-check what was happening.”-P6-1 Also, P3-1 thought the scrolling speed was useful, but would like to see numbers instead of a relative scale from “slow” to “fast.” \n\nHowever, these two features were relatively less used. One reason was that “they are too far away from the video so while I’m watching the video I couldn’t see that information.”-P2-2 In addition, P4-2 mentioned “I didn’t really look at the scrolling speed, because I think this is not super relevant to this task.”\n\nInterestingly, participants also used a combination of different features to better locate segments that contained usability problems. “In the same column, if there were two or more icons that show abnormalities,\r I paid more attention to it because it’s more obvious.”-P1-2']","['https://dx.doi.org/10.1109/TVCG.2013.233', 'https://dx.doi.org/10.1109/TVCG.2018.2835485', 'https://dx.doi.org/10.1109/TVCG.2021.3114822', 'https://dx.doi.org/10.1109/TVCG.2021.3114822']",4,4,0.11428571428571428,0.11428571428571428,1.0
30,occlud,{'occluded': 1},"['Hiding arrows using A and EA, if important structures would be occluded, made sense to all participants. However, for this task, it was confusing because direction information was missing in dense regions. This indicates that the correctness could have suffered because the participants started guessing. In contrast, the completion time might have been increased because it takes longer to come to a decision. Visualization with C and T can be recognized very well in dense regions; this is especially true for T because it is very simple. These two methods are also reported to be pleasant, since they guide the eyes. The direction encoding with C was not intuitive for some participants.\n(...)\nThe participants commented that the splats used in SP made it hard to decide between two similar clusters because there is nearly no difference in brightness. However, the SP enabled them to identify locations within a cluster where several points are very close to each other. Some had the feeling that they solved the task faster when NSP was used. All participants commented that this task was in general hard to solve.']",['https://dx.doi.org/10.1109/TVCG.2014.2346420'],1,1,0.02857142857142857,0.02857142857142857,1.0
31,recogn,{'recognize': 2},"['Hiding arrows using A and EA, if important structures would be occluded, made sense to all participants. However, for this task, it was confusing because direction information was missing in dense regions. This indicates that the correctness could have suffered because the participants started guessing. In contrast, the completion time might have been increased because it takes longer to come to a decision. Visualization with C and T can be recognized very well in dense regions; this is especially true for T because it is very simple. These two methods are also reported to be pleasant, since they guide the eyes. The direction encoding with C was not intuitive for some participants.\n(...)\nThe participants commented that the splats used in SP made it hard to decide between two similar clusters because there is nearly no difference in brightness. However, the SP enabled them to identify locations within a cluster where several points are very close to each other. Some had the feeling that they solved the task faster when NSP was used. All participants commented that this task was in general hard to solve.', 'Lessons Learned from the Readability Study\nThe results of our user study indicate that story curves are easily graspable. A number of participants commented that it is fun and enjoyable to learn about story curves; e.g., P5: “[...] a lot of fun!”, P10: “[...] an interesting experiment to understand narrative and story in graphics.”, and P11: “I was able to recognize Memento’s curve. It is a totally fascinating idea.”. Some participants struggled to understand the design of story curves; e.g, P3: “Putting the origin at the upper left corner was initially disorientating”, P9: “I needed to remind myself that one thing is narrative and the other is chronological.”']","['https://dx.doi.org/10.1109/TVCG.2014.2346420', 'https://dx.doi.org/10.1109/TVCG.2017.2744118']",2,2,0.05714285714285714,0.05714285714285714,1.0
32,guid,{'guide': 1},"['Hiding arrows using A and EA, if important structures would be occluded, made sense to all participants. However, for this task, it was confusing because direction information was missing in dense regions. This indicates that the correctness could have suffered because the participants started guessing. In contrast, the completion time might have been increased because it takes longer to come to a decision. Visualization with C and T can be recognized very well in dense regions; this is especially true for T because it is very simple. These two methods are also reported to be pleasant, since they guide the eyes. The direction encoding with C was not intuitive for some participants.\n(...)\nThe participants commented that the splats used in SP made it hard to decide between two similar clusters because there is nearly no difference in brightness. However, the SP enabled them to identify locations within a cluster where several points are very close to each other. Some had the feeling that they solved the task faster when NSP was used. All participants commented that this task was in general hard to solve.']",['https://dx.doi.org/10.1109/TVCG.2014.2346420'],1,1,0.02857142857142857,0.02857142857142857,1.0
33,intuit,"{'intuitive': 4, 'intuitively': 1}","['Hiding arrows using A and EA, if important structures would be occluded, made sense to all participants. However, for this task, it was confusing because direction information was missing in dense regions. This indicates that the correctness could have suffered because the participants started guessing. In contrast, the completion time might have been increased because it takes longer to come to a decision. Visualization with C and T can be recognized very well in dense regions; this is especially true for T because it is very simple. These two methods are also reported to be pleasant, since they guide the eyes. The direction encoding with C was not intuitive for some participants.\n(...)\nThe participants commented that the splats used in SP made it hard to decide between two similar clusters because there is nearly no difference in brightness. However, the SP enabled them to identify locations within a cluster where several points are very close to each other. Some had the feeling that they solved the task faster when NSP was used. All participants commented that this task was in general hard to solve.', '2D straight was found to be easy for small data sets, however, lines were found to be hard to distinguish due to increasing overlaps in large data sets. Several participants reported: “I answered sometimes with a very low confidence, close to luck.”\n2D curve was found to have fewer overlaps than 2D straight. However, many participants reported the curvature made it difficult to follow lines, and sometimes, the curvature was found to be unexpected, which apparently increased difficulty.\n(...)\n3D distance was easy to distinguish flows. “This one left enough gaps between the curves to clearly distinguish the curves” and “it was visually appealing.” However, a few participants commented they felt more confident with 3D quantity, and a few commented that this might be due to the double encoding used by 3D quantity (3D quantity encodes quantity with height and width).\n(...)\nGlobe was found to be the most intuitive. Many participants also commented that the visualisation “felt very sparse so it was easy to tell which lines were connected to the points”.', 'Especially the physicians pointed out that the clear connection between data and anatomy felt more intuitive to them than in the old representation.\n\nWe also observed that experts usually interpreted the direction correctly, however, many required 3D scene interaction to do so. One physician mentioned that it would be advantageous if shear forces could be spotted more easily.', 'Visual Design.\n\nMost of the users agreed that our visual design could intuitively convey the semantic information. Given that we use the scatterplot as our visualization, they found it easy for them to recognize the images and their similarities. However, one user indicated that the estimation of image similarities was not so easy, as the visualization can be explored in different scales, which sometimes hampered his estimation of the distances. Another user mentioned that it would be more useful if the images can be visualized temporally for the task of image management. In addition, three users made comments about the color. One of them thought the color is appropriate, which provided her an impression of the starry sky. Two of them thought the color is a little confusing as it did not well distinguish between different semantic clusters. Due to the limitation of our clustering method, however, some semantically similar images may be assigned to different groups. Moreover, one user thought that it was not efficient to show all the text in the same size. He hoped that important words could be highlighted by a larger text to attract his attention.', 'We got comments like “Interface is user friendly”, “Causal network gives control and flexibility”, “Causal network is very intuitive and easy to understand”, “Causal network is a great way to understand relationships between features”']","['https://dx.doi.org/10.1109/TVCG.2014.2346420', 'https://dx.doi.org/10.1109/TVCG.2018.2865192', 'https://dx.doi.org/10.1109/TVCG.2020.3030388', 'https://dx.doi.org/10.1109/TVCG.2018.2835485', 'https://dx.doi.org/10.1109/TVCG.2022.3209484']",5,5,0.14285714285714285,0.14285714285714285,1.0
34,strong,{'strong': 1},"['The evaluation participants replied that the OPCPs ”can be very strong in structure detection in the data”, especially ”when there is a lot of overlap in the data”. However, ”the OPCPs take more time to get used to” and ”might require some training for na¨ıve users”. Also, finding ”simple correlations across dimensions can be easier sometimes with PCPs only”. O-Brushing makes it ”easier to select patterns locally”, but ”O-Prober could be improved by using also different shapes, other than the rectangle”. Most users commented that our approach supported them more in the identification and selection of patterns and outliers, in particular. For simple cases, due to the fact that OPCPs require prior familiarization and training, they might be less suitable. However, for cluttered data, the advantages are straightforward.']",['https://dx.doi.org/10.1109/TVCG.2015.2467872'],1,1,0.02857142857142857,0.02857142857142857,1.0
35,judg,{'judge': 1},"['They also positively reported on the stereovision (“The hololens gives an instant understanding of depth [...]”,“ease with which I could judge distances/location”, “could see the space clearer”), and spatial comprehension (“comprehension was the highest with HoloLense (SIC)”).']",['https://dx.doi.org/10.1109/TVCG.2017.2745941'],1,1,0.02857142857142857,0.02857142857142857,1.0
36,clear,{'clear': 3},"['They also positively reported on the stereovision (“The hololens gives an instant understanding of depth [...]”,“ease with which I could judge distances/location”, “could see the space clearer”), and spatial comprehension (“comprehension was the highest with HoloLense (SIC)”).', '2D straight was found to be easy for small data sets, however, lines were found to be hard to distinguish due to increasing overlaps in large data sets. Several participants reported: “I answered sometimes with a very low confidence, close to luck.”\n2D curve was found to have fewer overlaps than 2D straight. However, many participants reported the curvature made it difficult to follow lines, and sometimes, the curvature was found to be unexpected, which apparently increased difficulty.\n(...)\n3D distance was easy to distinguish flows. “This one left enough gaps between the curves to clearly distinguish the curves” and “it was visually appealing.” However, a few participants commented they felt more confident with 3D quantity, and a few commented that this might be due to the double encoding used by 3D quantity (3D quantity encodes quantity with height and width).\n(...)\nGlobe was found to be the most intuitive. Many participants also commented that the visualisation “felt very sparse so it was easy to tell which lines were connected to the points”.', 'Especially the physicians pointed out that the clear connection between data and anatomy felt more intuitive to them than in the old representation.\n\nWe also observed that experts usually interpreted the direction correctly, however, many required 3D scene interaction to do so. One physician mentioned that it would be advantageous if shear forces could be spotted more easily.']","['https://dx.doi.org/10.1109/TVCG.2017.2745941', 'https://dx.doi.org/10.1109/TVCG.2018.2865192', 'https://dx.doi.org/10.1109/TVCG.2020.3030388']",3,3,0.08571428571428572,0.08571428571428572,1.0
37,disorient,{'disorientating': 1},"['Lessons Learned from the Readability Study\nThe results of our user study indicate that story curves are easily graspable. A number of participants commented that it is fun and enjoyable to learn about story curves; e.g., P5: “[...] a lot of fun!”, P10: “[...] an interesting experiment to understand narrative and story in graphics.”, and P11: “I was able to recognize Memento’s curve. It is a totally fascinating idea.”. Some participants struggled to understand the design of story curves; e.g, P3: “Putting the origin at the upper left corner was initially disorientating”, P9: “I needed to remind myself that one thing is narrative and the other is chronological.”']",['https://dx.doi.org/10.1109/TVCG.2017.2744118'],1,1,0.02857142857142857,0.02857142857142857,1.0
38,unexpect,{'unexpected': 1},"['2D straight was found to be easy for small data sets, however, lines were found to be hard to distinguish due to increasing overlaps in large data sets. Several participants reported: “I answered sometimes with a very low confidence, close to luck.”\n2D curve was found to have fewer overlaps than 2D straight. However, many participants reported the curvature made it difficult to follow lines, and sometimes, the curvature was found to be unexpected, which apparently increased difficulty.\n(...)\n3D distance was easy to distinguish flows. “This one left enough gaps between the curves to clearly distinguish the curves” and “it was visually appealing.” However, a few participants commented they felt more confident with 3D quantity, and a few commented that this might be due to the double encoding used by 3D quantity (3D quantity encodes quantity with height and width).\n(...)\nGlobe was found to be the most intuitive. Many participants also commented that the visualisation “felt very sparse so it was easy to tell which lines were connected to the points”.']",['https://dx.doi.org/10.1109/TVCG.2018.2865192'],1,1,0.02857142857142857,0.02857142857142857,1.0
