"Somewhat relevant:
59","To keep:
34",DOI,Title,Year,Term found from search script,Type of visualization in the study,Type of likert scale used in study,Likert terms found,Likert term context (how researchers refer to the items in the publication),Terms to keep for our scale,whole questionnaire (if available)
True,False,https://dx.doi.org/https://dx.doi.org/10.1109/TVCG.2019.2906900,Eiffel: Evolutionary Flow Map for Influence Graph Visualization,2020,readab; likert;,node-links; paths;,1 to 6,help (visualisation); like (experience),"After the subject had completed the task for each visualization, s/he was asked to answer two subjective questions based on a 0-6 Likert scale in which 6 is the best and 0 the worst.",,
True,False,https://dx.doi.org/10.1109/TVCG.2020.2986996,t-viSNE: Interactive Assessment and Interpretation of t-SNE Projections,2020,readab; likert; ,multiple; heatmaps; dot-based; line-based; bar charts,"1 to 7
or ""Non applicable""",(cf ICE-T),"The ICE-T evaluation form focuses on the value in and the interactivity of visualizations.
Insight is the ability to impel and identify insights or insightful questions about the data.
Confidence is the ability to produce confidence and trustworthiness in the data.
Essence is the capability to communicate concisely an overall essence of the data.
Time is the capability to reduce the necessary total time to respond to a large variety of queries about data.",,
True,False,https://dx.doi.org/10.1109/TVCG.2020.3041745,Task-Based Effectiveness of Interactive Contiguous Area Cartograms,2020,readab; legib; likert;,maps;,1 to 5 for pairs (cf https://dx.doi.org/10.1109/TVCG.2016.2642109 =[10]),difficult (use) - easy; helpful - hindering; redundant - informative; immediate (impression) - not; ugly - elegant; boring - entertaining; innovative - conventional,"Attitude study: Adapting the semantic differential technique used by Dent [32] and Nusrat et al. [10], we asked participants to rate the aesthetics and effectiveness of the three interactive features evaluated in the experiment. We selected pairs of opposite words (e.g., “conventional” versus “innovative,” “hindering” versus “helpful”). For every pair of words, we asked participants to rate each interactive feature on a 5-point Likert scale. Following the example of [10], participants did not have to give separate responses for each task type. Hence, the participants responded three times to each word pair, once for each interactive feature.",,
True,False,https://dx.doi.org/10.1109/TVCG.2021.3086414,HisVA: A Visual Analytics System for Studying History,2021,readab; likert; ,maps; charts; ,"1 to 7 (1 = strongly negative, 7 = strongly positive)",help (tool for task); useful (visualization + interactive feature); useful (tool in general),"We asked Q1 to find out if HisVA helped the users feel that they could effectively search for learning materials.

Q2–Q4 were asked to evaluate how users evaluate each function of HisVA for the tasks.

Q5 was to ascertain the overall effectiveness of HisVA",,
True,False,https://dx.doi.org/10.1109/TVCG.2021.3114822,CoUX: Collaborative Visual Analysis of Think-Aloud Usability Test Videos for Digital Interfaces,2021,readab; likert;,multiple; glyph based; timeline; line-based; ,"1 to 5 (1 = Strongly disagree, 5 = Strongly Agree)",quickly (system); useful (visualization); easy (system feature for task); confident (decisions and answers); easily & quickly (decisions); fairly & comfortaby (decisions); like (system feature),"!! the authors use the term ""system feature"" both for visualization and interactive features but I renamed those accordingly to this work's naming convention!!",,
True,False,https://dx.doi.org/10.1109/TVCG.2021.3114811,"Learning Objectives, Insights, and Assessments: How Specification Formats Impact Design",2021,readab; likert; ,multiple charts; bar graphs; line charts; pie charts; dot based; areas,"1 to 5 (1 = Extremely good, 5 = Extremely bad)",-,"Preference
Each participant rated each visualization once based on a single specification.
4 conditions: baseline (vis without specification) + 3 types of specifications

!! in this study ""readability"" and ""memorability"" are names of conditions and tested through accuracy of answers !!
Accuracy: readability & memorability - The no-visualization baseline condition allows us to determine the question’s baseline difficulty based on guessing and prior knowledge. Then, we evaluated readability accuracy for answering the assessment while viewing the visualization. Finally, we evaluated the memorability accuracy on how effective the visualizations were for information that was to be remembered.",,
True,False,https://dx.doi.org/10.1109/TVCG.2022.3209477,LargeNetVis: Visual Exploration of Large Temporal Networks Based on Community Taxonomies,2022,readab; likert; ,multiple; node-links; matrix; dot based,"1 to 5 (1 = Strongly disagree, 2 = Disagree, 3 = I don't know,  4 = Agree, 5 = Strongly agree)",scalability (system); speed (system); usefulness (system); intuitiveness and ease of use (system); useful and helpful (visualizations),"!! the authors use the term ""system visual"" for interactive features of the system and layout for visualizations but I renamed those accordingly to this work's naming conventionin the previous cell !!

Questions from (a) concern the system’s visual scalability (LQ1), speed (LQ2), usefulness (LQ3), and intuitiveness and ease of use (LQ4). Questions from (b) concern whether each layout is useful and helps in the network analysis.",,
True,False,https://dx.doi.org/10.1109/TVCG.2022.3209484,D-BIAS: A Causality-Based Human-in-the-Loop System for Tackling Algorithmic Bias,2022,readab; likert; deciph;,networks; surface charts; bar charts;,"Usability, Interpretability, Trust: 1 to 5 (1 = Strongly disagree, 5 = Strongly agree)

Workload: 1 to 5 (1 = very low, 5 = very high)

Accountability: 1 to 5 (1 = System’s capability, 5 = My input to the system)
",mentally demanding (task); hard (work); ,"Each participant was asked to answer a set of 13 survey questions to quantitatively measure usability, interpretability, workload, accountability and trust.

- To capture cognitive workload, we selected two applicable questions from the NASA-LTX task load index [23]
- For capturing usability, we picked 3 questions from the System Usability Scale (SUS) [7]
- To capture accountability, we asked two questions based on previous studies [9, 19].
- To capture interpretability, we consulted Madsen Gregor scale [30] and adopted 3 questions for our application.
- For measuring trust, we referred to McKnight’s framework on Trust [31, 32] and other studies [15, 19] to come up with 3 questions for our specific case.",,
True,False,https://dx.doi.org/10.1109/TVCG.2022.3209480,Geo-Storylines: Integrating Maps into Storyline Visualizations,2022,readab; legib; likert; ,flows; maps; paths;,"Confidence: 1 to 5 (1 = Highly not
confident, 2 = Not confident, 3 = Neutral, 4 = Confident, 5 = Highly confident)


Easiness: 1 to 5 (1 = Very hard, 2 = Hard, 3 = Neutral, 4 = Easy, 5 = Very easy).

(+ ranking)","confident (user); easy (to do the task with the vis)

preference (ranking)","- Self-reported confidence
- Self-reported easiness to do the task

Additionally, we collected participants’ strategies per task, their overall feedback and preference of the three designs.

(!! from the addtional content I looked at the comments => the researchers used the term ""visibility"" for comments we would have categorized as readbility ones...)",,
False,False,https://dx.doi.org/10.1109/INFVIS.2002.1173148,"SpaceTree: Supporting Exploration in Large Node Link Tree, Design Evolution and Empirical Evaluation",2002,readab; likert; ,,,,,,
False,False,https://dx.doi.org/10.1109/INFVIS.2003.1249008,EdgeLens: An Interactive Method for Managing Edge Congestion in Graphs,2003,readab; likert; ,,,,,,
False,False,https://dx.doi.org/10.1109/VAST.2006.261428,Visual Analysis of Historic Hotel Visitation Patterns,2006,legib; likert; deciph;,,,,,,
False,False,doi.org/10.1109/TVCG.2008.178,Vispedia * : Interactive Visual Exploration of Wikipedia Data via Search-Based Integration,2008,readab; likert; ,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2009.176,ResultMaps: Visualization for Search Interfaces,2009,legib; likert;,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2009.171,Participatory Visualization with Wordle,2009,legib; likert;,,,,,,
False,False,https://dx.doi.org/10.1109/VAST.2009.5332595,Finding Comparable Temporal Categorical Records: A Similarity Measure with an Interactive Visualization,2009,readab; likert; ,,,,,,
False,False,https://dx.doi.org/10.1109/VAST.2010.5652885,Click2Annotate: Automated Insight Externalization with Rich Semantics,2010,readab; likert; ,,,,,,
False,False,https://dx.doi.org/10.1109/VAST.2010.5652895,"Geo-Historical Context Support for Information Foraging and Sensemaking: Conceptual Model, Implementation, and Assessment",2010,readab; likert;,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2011.160,A Study on Dual-Scale Data Charts,2011,readab; legib; likert;deciph;,charts,,,,,
False,False,https://dx.doi.org/10.1109/VAST.2011.6102456,SensePlace2: GeoTwitter Analytics Support for Situational Awareness,2011,readab; likert;,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2013.209,Understanding Interfirm Relationships in Business Ecosystems with Interactive Visualization,2013,readab; likert; ,node-links;,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2013.191,SketchStory: Telling More Engaging Stories with Data through Freeform Sketching,2013,readab; legib; likert; ,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2013.233,Visualizing Request-Flow Comparison to Aid Performance Diagnosis in Distributed Systems,2013,readab; likert; ,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2013.126,A Systematic Review on the Practice of Evaluating Visualization,2013,readab; likert;,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2014.2352953,Activity Sculptures: Exploring the Impact of Physical Visualizations on Running Activity,2014,readab; likert;,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2014.2346420,Comparative Eye Tracking Study on Node-Link Visualizations of Trajectories,2014,readab; likert; ,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2014.2346575,Finding Waldo: Learning about Users from their Interactions,2014,readab; likert;,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2014.2337337,Munin: A Peer-to-Peer Middleware for Ubiquitous Analytics and Visualization Spaces,2014,legib; likert; ,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2015.2467471,A Linguistic Approach to Categorical Color Assignment for Data Visualization,2015,legib; likert;,,,,,,
False,False,https://dx.doi.org/10.1109/VAST.2015.7347634,Comparative Visual Analysis of Vector Field Ensembles,2015,readab; legib; likert;,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2017.2745859,EdWordle: Consistency-preserving Word Cloud Editing,2017,readab; likert;,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2017.2745958,Active Reading of Visualizations,2017,readab; likert;,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2017.2744898,VIGOR: Interactive Visual Exploration of Graph Query Results,2017,readab; likert; ,,?,,,,
False,False,doi.org/10.1109/TVCG.2017.2744738,SkyLens: Visual Analysis of Skyline on Multi-Dimensional Data,2017,legib; likert;,,,,,,
False,False,doi.org/10.1109/VAST.2017.8585487,"The ""y"" of it Matters, Even for Storyline Visualization",2017,readab; likert;,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2017.2723393,Keshif: Rapid and Expressive Tabular Data Exploration for Novices,2017,readab; likert; ,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2017.2764895,PhotoRecomposer: Interactive Photo Recomposition by Cropping,2017,readab; likert;,,,,,,
False,False,doi.org/10.1109/TVCG.2018.2865231,"SmartCues: A Multitouch Query Approach for Details-on-Demand through Dynamically Computed Overlays Hariharan Subramonyam, Student Member, IEEE, and Eytan Adar a Original bar chart with no annotations",2018,legib; likert; ,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2018.2865142,Glanceable Visualization: Studies of Data Comparison Performance on Smartwatches,2018,readab; legib; likert; ,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2018.2864907,Looks Good To Me: Visualizations As Sanity Checks,2018,legib; likert;,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2018.2859973,Commercial Visual Analytics Systems-Advances in the Big Data Analytics Field,2018,readab; likert;,,,,,,
False,False,doi.org/10.1109/MCG.2018.2879066,Graphoto: Aesthetically Pleasing Charts for Casual Information Visualization,2018,legib; likert; ,,,aesthetics (visually pleasing),,,
False,False,https://dx.doi.org/10.1109/TVCG.2019.2934807,A Comparison of Visualizations for Identifying Correlation over Space and Time,2019,legib; likert; ,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2019.2934555,Pattern-Driven Navigation in 2D Multiscale Visualizations with Scalable Insets,2019,readab; likert;,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2019.2934432,Discriminability Tests for Visualization Effectiveness and Scalability,2019,readab; likert;,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2019.2934784,A Comparison of Radial and Linear Charts for Visualizing Daily Patterns,2019,readab; likert; deciph;,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2019.2934557,OntoPlot: A Novel Visualisation for Non-hierarchical Associations in Large Ontologies,2019,readab; likert; ,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2019.2934337,Temporal Views of Flattened Mitral Valve Geometries,2019,readab; likert; ,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2019.2934668,FlowSense: A Natural Language Interface for Visual Data Exploration within a Dataflow System,2019,readab; likert;,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2019.2934300,GUIRO: User-Guided Matrix Reordering,2019,readab; likert;,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2019.2934669,Exploranative Code Quality Documents,2019,readab; likert;,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2019.2892415,MARVisT: Authoring Glyph-Based Visualization in Mobile Augmented Reality,2019,legib; likert;,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2019.2945960,Phoenixmap: An Abstract Approach to Visualize 2D Spatial Distributions,2019,readab; legib; likert; ,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2019.2963651,Vis-a-Vis: Visual Exploration of Visualization Source Code Evolution,2019,readab; likert;,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2020.3030351,Chartem: Reviving Chart Images with Data Embedding,2020,readab; likert;,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2020.3030403,Calliope: Automatic Visual Data Story Generation from a Spreadsheet,2020,readab; likert;,,,,"Story: Insightful, Comprehensive, Effective
Visualization: Understandabe, Aesthetic, Expressive
System: Useful, Ease of use",,
False,False,https://dx.doi.org/10.1109/TVCG.2020.3030446,The Effectiveness of Interactive Visualization Techniques for Time Navigation of Dynamic Graphs on Large Displays,2020,readab; likert; ,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2020.3030428,Preserving Minority Structures in Graph Sampling,2020,readab; likert; ,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2020.3030443,CAVA: A Visual Analytics System for Exploratory Columnar Data Augmentation Using Knowledge Graphs,2020,readab; likert;,,,,,,
False,False,doi.org/10.1109/VAST50239.2020.00008,"A Visual Analytics Approach to Debugging Cooperative, Autonomous Multi-Robot Systems' Worldviews",2020,legib; likert;,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2020.2968911,Visualization of 3D Stress Tensor Fields Using Superquadric Glyphs on Displacement Streamlines,2020,likert;deciph;,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2020.3009003,A Virtual Reality Memory Palace Variant Aids Knowledge Retrieval from Scholarly Articles,2020,readab; likert;,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2020.3035823,"Rainbow Dash: Intuitiveness, interpretability and memorability of the rainbow color scheme in visualization",2020,readab; legib; likert;,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2020.3030363,Improving the Usability of Virtual Reality Neuron Tracing with Topological Elements,2020,likert; deciph;,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2021.3114781,VideoModerator: A Risk-aware Framework for Multimodal Video Moderation in E-Commerce,2021,legib; likert;,no data vis,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2021.3114775,Kineticharts: Augmenting Affective Expressiveness of Charts in Data Stories with Animation Design,2021,readab; likert;,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2021.3098240,A Survey of Perception-Based Visualization Studies by Task,2021,readab; legib; likert;,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2022.3209385,Rigel: Transforming Tabular Data by Declarative Mapping,2022,readab; likert;,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2022.3209486,Supporting Expressive and Faithful Pictorial Visualization Design with Visual Style Transfer,2022,readab; likert;,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2022.3209425,DendroMap: Visual Exploration of Large-Scale Image Datasets for Machine Learning with Treemaps,2022,likert;deciph;,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2022.3209482,A Framework for Multiclass Contour Visualization,2022,readab; legib; likert; ,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2022.3209390,BeauVis: A Validated Scale for Measuring the Aesthetic Pleasure of Visual Representations,2022,readab; likert;,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2022.3209491,Measuring Effects of Spatial Visualization and Domain on Visualization Task Performance: A Comparative Study,2022,readab; likert;,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2022.3209427,"Comparative Evaluation of Bipartite, Node-Link, and Matrix-Based Network Representations",2022,readab; likert; ,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2022.3209421,MEDLEY: Intent-based Recommendations to Support Dashboard Composition,2022,readab; likert;,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2022.3209383,Striking a Balance: Reader Takeaways and Preferences when Integrating Text and Charts,2022,readab; legib; likert; ,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2022.3184186,A Unified Understanding of Deep NLP Models for Text Classification,2022,readab; likert;,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2022.3184993,Visualization in Motion: A Research Agenda and Two Evaluations,2022,readab; legib; likert;,,,,,,
False,False,https://dx.doi.org/10.1109/TVCG.2022.3175626,ClinicalPath: a Visualization tool to Improve the Evaluation of Electronic Health Records in Clinical Decision-Making,2022,readab; likert; ,,,,,,
